Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,86338,2014,6,27,4.3
IDCJAC0016,86338,2014,6,28,6.5
IDCJAC0016,86338,2014,6,29,3.4
IDCJAC0016,86338,2014,6,30,5
IDCJAC0016,86338,2014,7,1,4.2
IDCJAC0016,86338,2014,7,2,7.1
IDCJAC0016,86338,2014,7,3,8.7
IDCJAC0016,86338,2014,7,4,6.5
IDCJAC0016,86338,2014,7,5,3.9
IDCJAC0016,86338,2014,7,6,5.8
IDCJAC0016,86338,2014,7,7,8.5
IDCJAC0016,86338,2014,7,8,8.6
IDCJAC0016,86338,2014,7,9,4
IDCJAC0016,86338,2014,7,10,7.1
IDCJAC0016,86338,2014,7,11,7.6
IDCJAC0016,86338,2014,7,12,6.6
IDCJAC0016,86338,2014,7,13,8.1
IDCJAC0016,86338,2014,7,14,5.6
IDCJAC0016,86338,2014,7,15,3
IDCJAC0016,86338,2014,7,16,7.9
IDCJAC0016,86338,2014,7,17,8
IDCJAC0016,86338,2014,7,18,8.8
IDCJAC0016,86338,2014,7,19,6
IDCJAC0016,86338,2014,7,20,8.4
IDCJAC0016,86338,2014,7,21,8.6
IDCJAC0016,86338,2014,7,22,7.7
IDCJAC0016,86338,2014,7,23,9.1
IDCJAC0016,86338,2014,7,24,5.4
IDCJAC0016,86338,2014,7,25,7.2
IDCJAC0016,86338,2014,7,26,3.3
IDCJAC0016,86338,2014,7,27,9.3
IDCJAC0016,86338,2014,7,28,10
IDCJAC0016,86338,2014,7,29,5.3
IDCJAC0016,86338,2014,7,30,6.1
IDCJAC0016,86338,2014,7,31,8.4
IDCJAC0016,86338,2014,8,1,4.5
IDCJAC0016,86338,2014,8,2,9.9
IDCJAC0016,86338,2014,8,3,11.4
IDCJAC0016,86338,2014,8,4,11.5
IDCJAC0016,86338,2014,8,5,6.9
IDCJAC0016,86338,2014,8,6,7
IDCJAC0016,86338,2014,8,7,6.1
IDCJAC0016,86338,2014,8,8,5.5
IDCJAC0016,86338,2014,8,9,8.5
IDCJAC0016,86338,2014,8,10,11.2
IDCJAC0016,86338,2014,8,11,10.7
IDCJAC0016,86338,2014,8,12,8.7
IDCJAC0016,86338,2014,8,13,11
IDCJAC0016,86338,2014,8,14,8.9
IDCJAC0016,86338,2014,8,15,12.8
IDCJAC0016,86338,2014,8,16,9.4
IDCJAC0016,86338,2014,8,17,7.7
IDCJAC0016,86338,2014,8,18,5.5
IDCJAC0016,86338,2014,8,19,6.1
IDCJAC0016,86338,2014,8,20,6.4
IDCJAC0016,86338,2014,8,21,10.3
IDCJAC0016,86338,2014,8,22,13
IDCJAC0016,86338,2014,8,23,13.1
IDCJAC0016,86338,2014,8,24,6.2
IDCJAC0016,86338,2014,8,25,9.4
IDCJAC0016,86338,2014,8,26,13.2
IDCJAC0016,86338,2014,8,27,14.5
IDCJAC0016,86338,2014,8,28,12.8
IDCJAC0016,86338,2014,8,29,9.4
IDCJAC0016,86338,2014,8,30,15
IDCJAC0016,86338,2014,8,31,14.6
IDCJAC0016,86338,2014,9,1,3
IDCJAC0016,86338,2014,9,2,14.1
IDCJAC0016,86338,2014,9,3,12.9
IDCJAC0016,86338,2014,9,4,15.9
IDCJAC0016,86338,2014,9,5,16.5
IDCJAC0016,86338,2014,9,6,14.8
IDCJAC0016,86338,2014,9,7,16.9
